token,tokenIndex,charIndex,entType,sentIndex,corefEntityValue
Sir,0.0,0.0,,0.0,
Edward,1.0,4.0,PERSON,0.0,
William,2.0,11.0,PERSON,0.0,
Elgar,3.0,19.0,PERSON,0.0,
",",4.0,24.0,,0.0,
1st,5.0,26.0,ORDINAL,0.0,
Baronet,6.0,30.0,,0.0,
",",7.0,37.0,,0.0,
 ,8.0,39.0,,0.0,
(,9.0,40.0,,0.0,
(,10.0,42.0,,0.0,
listen,11.0,43.0,,0.0,
),12.0,49.0,,0.0,
;,13.0,50.0,,0.0,
2,14.0,52.0,DATE,0.0,
June,15.0,54.0,DATE,0.0,
1857,16.0,59.0,DATE,0.0,
–,17.0,64.0,DATE,0.0,
23,18.0,66.0,DATE,0.0,
February,19.0,69.0,DATE,0.0,
1934,20.0,78.0,DATE,0.0,
),21.0,82.0,,0.0,
was,22.0,84.0,,0.0,
an,23.0,88.0,,0.0,
English,24.0,91.0,NORP,0.0,
composer,25.0,99.0,,0.0,composer
",",26.0,107.0,,0.0,
many,27.0,109.0,,0.0,
of,28.0,114.0,,0.0,
whose,29.0,117.0,,0.0,
works,30.0,123.0,,0.0,
have,31.0,129.0,,0.0,
entered,32.0,134.0,,0.0,
the,33.0,142.0,,0.0,
British,34.0,146.0,NORP,0.0,
and,35.0,154.0,,0.0,
international,36.0,158.0,,0.0,
classical,37.0,172.0,,0.0,
concert,38.0,182.0,,0.0,
repertoire,39.0,190.0,,0.0,
.,40.0,200.0,,0.0,
Among,41.0,0.0,,1.0,
his,42.0,6.0,,1.0,composer
best,43.0,10.0,,1.0,
-,44.0,14.0,,1.0,
known,45.0,15.0,,1.0,
compositions,46.0,21.0,,1.0,
are,47.0,34.0,,1.0,
orchestral,48.0,38.0,,1.0,
works,49.0,49.0,,1.0,
including,50.0,55.0,,1.0,
the,51.0,65.0,WORK_OF_ART,1.0,
Enigma,52.0,69.0,WORK_OF_ART,1.0,
Variations,53.0,76.0,WORK_OF_ART,1.0,
",",54.0,86.0,,1.0,
the,55.0,88.0,WORK_OF_ART,1.0,
Pomp,56.0,92.0,WORK_OF_ART,1.0,
and,57.0,97.0,WORK_OF_ART,1.0,
Circumstance,58.0,101.0,WORK_OF_ART,1.0,
Marches,59.0,114.0,WORK_OF_ART,1.0,
",",60.0,121.0,,1.0,
concertos,61.0,123.0,,1.0,
for,62.0,133.0,,1.0,
violin,63.0,137.0,,1.0,
and,64.0,144.0,,1.0,
cello,65.0,148.0,,1.0,
",",66.0,153.0,,1.0,
and,67.0,155.0,,1.0,
two,68.0,159.0,CARDINAL,1.0,
symphonies,69.0,163.0,,1.0,
.,70.0,173.0,,1.0,
He,71.0,0.0,,2.0,composer
also,72.0,3.0,,2.0,
composed,73.0,8.0,,2.0,
choral,74.0,17.0,,2.0,
works,75.0,24.0,,2.0,
",",76.0,29.0,,2.0,
including,77.0,31.0,,2.0,
The,78.0,41.0,WORK_OF_ART,2.0,
Dream,79.0,45.0,WORK_OF_ART,2.0,
of,80.0,51.0,WORK_OF_ART,2.0,
Gerontius,81.0,54.0,WORK_OF_ART,2.0,
",",82.0,63.0,,2.0,
chamber,83.0,65.0,,2.0,
music,84.0,73.0,,2.0,
and,85.0,79.0,,2.0,
songs,86.0,83.0,,2.0,
.,87.0,88.0,,2.0,
He,88.0,0.0,,3.0,composer
was,89.0,3.0,,3.0,
appointed,90.0,7.0,,3.0,
Master,91.0,17.0,,3.0,
of,92.0,24.0,,3.0,
the,93.0,27.0,,3.0,
King,94.0,31.0,,3.0,
's,95.0,35.0,,3.0,
Musick,96.0,38.0,,3.0,
in,97.0,45.0,,3.0,
1924,98.0,48.0,DATE,3.0,
.,99.0,52.0,,3.0,
Sir,0.0,0.0,,0.0,
Edward,1.0,4.0,PERSON,0.0,
William,2.0,11.0,PERSON,0.0,
Elgar,3.0,19.0,PERSON,0.0,
",",4.0,24.0,,0.0,
1st,5.0,26.0,ORDINAL,0.0,
Baronet,6.0,30.0,,0.0,
",",7.0,37.0,,0.0,
 ,8.0,39.0,,0.0,
(,9.0,40.0,,0.0,
(,10.0,42.0,,0.0,
listen,11.0,43.0,,0.0,
),12.0,49.0,,0.0,
;,13.0,50.0,,0.0,
2,14.0,52.0,DATE,0.0,
June,15.0,54.0,DATE,0.0,
1857,16.0,59.0,DATE,0.0,
–,17.0,64.0,DATE,0.0,
23,18.0,66.0,DATE,0.0,
February,19.0,69.0,DATE,0.0,
1934,20.0,78.0,DATE,0.0,
),21.0,82.0,,0.0,
was,22.0,84.0,,0.0,
an,23.0,88.0,,0.0,
English,24.0,91.0,NORP,0.0,
composer,25.0,99.0,,0.0,composer
",",26.0,107.0,,0.0,
many,27.0,109.0,,0.0,
of,28.0,114.0,,0.0,
whose,29.0,117.0,,0.0,
works,30.0,123.0,,0.0,
have,31.0,129.0,,0.0,
entered,32.0,134.0,,0.0,
the,33.0,142.0,,0.0,
British,34.0,146.0,NORP,0.0,
and,35.0,154.0,,0.0,
international,36.0,158.0,,0.0,
classical,37.0,172.0,,0.0,
concert,38.0,182.0,,0.0,
repertoire,39.0,190.0,,0.0,
.,40.0,200.0,,0.0,
Among,41.0,0.0,,1.0,
his,42.0,6.0,,1.0,composer
best,43.0,10.0,,1.0,
-,44.0,14.0,,1.0,
known,45.0,15.0,,1.0,
compositions,46.0,21.0,,1.0,
are,47.0,34.0,,1.0,
orchestral,48.0,38.0,,1.0,
works,49.0,49.0,,1.0,
including,50.0,55.0,,1.0,
the,51.0,65.0,WORK_OF_ART,1.0,
Enigma,52.0,69.0,WORK_OF_ART,1.0,
Variations,53.0,76.0,WORK_OF_ART,1.0,
",",54.0,86.0,,1.0,
the,55.0,88.0,WORK_OF_ART,1.0,
Pomp,56.0,92.0,WORK_OF_ART,1.0,
and,57.0,97.0,WORK_OF_ART,1.0,
Circumstance,58.0,101.0,WORK_OF_ART,1.0,
Marches,59.0,114.0,WORK_OF_ART,1.0,
",",60.0,121.0,,1.0,
concertos,61.0,123.0,,1.0,
for,62.0,133.0,,1.0,
violin,63.0,137.0,,1.0,
and,64.0,144.0,,1.0,
cello,65.0,148.0,,1.0,
",",66.0,153.0,,1.0,
and,67.0,155.0,,1.0,
two,68.0,159.0,CARDINAL,1.0,
symphonies,69.0,163.0,,1.0,
.,70.0,173.0,,1.0,
He,71.0,0.0,,2.0,composer
also,72.0,3.0,,2.0,
composed,73.0,8.0,,2.0,
choral,74.0,17.0,,2.0,
works,75.0,24.0,,2.0,
",",76.0,29.0,,2.0,
including,77.0,31.0,,2.0,
The,78.0,41.0,WORK_OF_ART,2.0,
Dream,79.0,45.0,WORK_OF_ART,2.0,
of,80.0,51.0,WORK_OF_ART,2.0,
Gerontius,81.0,54.0,WORK_OF_ART,2.0,
",",82.0,63.0,,2.0,
chamber,83.0,65.0,,2.0,
music,84.0,73.0,,2.0,
and,85.0,79.0,,2.0,
songs,86.0,83.0,,2.0,
.,87.0,88.0,,2.0,
He,88.0,0.0,,3.0,composer
was,89.0,3.0,,3.0,
appointed,90.0,7.0,,3.0,
Master,91.0,17.0,,3.0,
