types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatAmericanComedyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatAmericanFantasyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatAmericanIndependentFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatHongKongActionFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatHongKongComedyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatHongKongFantasyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatMartialArtsComedyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatMartialArtsScienceFictionFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatSamuraiFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatScienceFantasyFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatSequelFilms,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Garment103419014,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Jersey103595614,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_III,Teenage Mutant Ninja Turtles III,106,117,1.0,0.0,0,16,== Career == | === Other projects ===
