types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mirza_Sahiban,Mirza Sahiban,65,129,1.0,1.1535491330577014e-22,1,4,== Career ==
http://dbpedia.org/class/yago/WikicatPlaysAboutProstitution,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/WikicatPlaysByAghaHasharKashmiri,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/Wikicat1924Plays,http://dbpedia.org/resource/Aankh_ka_Nasha,Aankh Ka Nasha,5,0,1.0,0.0,0,19,== Filmography == | === India ===
http://dbpedia.org/class/yago/WikicatArabMilitaryRanks,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/WikicatMilitaryRanks,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/MilitaryRank114431471,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/Rank114429985,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
http://dbpedia.org/class/yago/Status113945919,http://dbpedia.org/resource/Ispahsalar,Sipah Salar,56,0,1.0,0.0,0,22,== Filmography == | === India ===
