types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/WikicatVenezuelanComposers,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/WikicatVenezuelanPianists,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://umbel.org/umbel/rc/MusicalPerformer,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://dbpedia.org/class/yago/WikicatPeopleFromCaracas,http://dbpedia.org/resource/Chucho_Sanoja,Chucho Sanoja,10,135,1.0,0.0,0,4,== Career == | === 1959–1969 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/RCTV,Radio Caracas Television,580,60,1.0,0.0,1,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatAbbreviations,http://dbpedia.org/resource/RCTV,Radio Caracas Television,580,60,1.0,0.0,1,6,== Career == | === 1970–1979 ===
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/resource/RCTV,Radio Caracas Television,580,60,1.0,0.0,1,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatHumanRightsInVenezuela,http://dbpedia.org/resource/RCTV,Radio Caracas Television,580,60,1.0,0.0,1,6,== Career == | === 1970–1979 ===
