types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/WikicatConcertTours,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/WikicatSMTownConcertTours,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Travel100295701,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Wikicat2010ConcertTours,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Wikicat2011ConcertTours,http://dbpedia.org/resource/SM_Town_Live_'10_World_Tour,SMTown Live '10 World Tour,19,0,1.0,0.0,0,28,== Concerts == | === Concert participation ===
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/WikicatSMTownConcertTours,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/SM_Town_Live_World_Tour_III,SMTown Live World Tour III,22,0,1.0,0.0,0,29,== Concerts == | === Concert participation ===
