types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Fold_and_thrust_belt,FTB,172,120,0.999999321037936,0.0,1,3,== Biography ==
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatImperialRussianDiplomats,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatLGBTPeopleFromRussia,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Diplomat110013927,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Official110372373,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Filipp_Vigel,Vigel,21,62,1.0,0.0,1,51,== Discography == | === Remixes ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Polina_Kutepova,Polina,19,23,0.7413050044466033,0.3489722461349801,1,68,== Discography == | === Remixes ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Polina_Kutepova,Polina,19,23,0.7413050044466033,0.3489722461349801,1,68,== Discography == | === Remixes ===
