types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ulrich_Windfuhr,Ulrich Windfuhr,12,106,1.0,0.0,5,4,== Biography == | === Early years and education ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Theater104417809,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatTheatresInBaden-Württemberg,http://dbpedia.org/resource/Theater_&_Orchester_Heidelberg,Theater Heidelberg,41,24,0.9999973360728474,0.0,1,6,== Biography == | === Career ===
