types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatAtlanticRecordsSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatGrandHustleRecordsSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatBillboardHot100Number-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatBillboardMainstreamTop40(PopSongs)Number-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatBillboardRapSongsNumber-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatBillboardRhythmicAirplayNumber-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatDutchTop40Number-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Wikicat2009Singles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/Wikicat2010Singles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatNumber-oneDebutSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatUKR&BSinglesChartNumber-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
http://dbpedia.org/class/yago/WikicatUKSinglesChartNumber-oneSingles,http://dbpedia.org/resource/Nothin'_on_You,Nothin' On You,96,1,1.0,0.0,0,14,== Discography == | === Other singles ===
