types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanTelevisionSpecials,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Offer107164546,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://dbpedia.org/class/yago/Special107166851,http://dbpedia.org/resource/Bob_Hope_television_specials,Bob Hope television specials,17,435,1.0,0.0,9,7,== Life and work == | === Career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatAmericanFolkSongs,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/ontology/Poem,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatHall&OatesSongs,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatBurlIvesSongs,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
http://dbpedia.org/class/yago/WikicatChristianHymns,http://dbpedia.org/resource/It_Came_Upon_the_Midnight_Clear,It Came Upon A Midnight Clear,94,107,1.0,0.0,0,13,== Life and work == | === Career ===
