types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInJamaica,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1994,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatReggaeFestivals,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Rebel_Salute,Rebel Salute,14,42,1.0,0.0,8,4,== Early life and career == | === 2010s ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatMusicFestivals,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInItaly,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInSpain,http://dbpedia.org/resource/Rototom_Sunsplash,Rototom Sunsplash,33,126,1.0,0.0,12,4,== Early life and career == | === 2010s ===
