types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cynthia_Reed_Nolan,Cynthia,10,81,0.5740565130187676,0.7068932894581325,0,4,== Early life ==
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/class/yago/WikicatJimCrockettPromotions,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/class/yago/Promotion107247071,http://dbpedia.org/resource/Universal_Wrestling_Federation_(Bill_Watts),Mid-South Wrestling,696,78,0.9999999982908035,0.0,2,29,== Career == | === 1980s and 1990s ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatTelevisionGenres,http://dbpedia.org/resource/Fishing_television_series,fishing television series,13,32,1.0,0.0,0,36,== Career == | === 2000s ===
http://dbpedia.org/ontology/Fish,http://dbpedia.org/resource/Largemouth_bass,largemouth bass,1678,60,1.0,0.0,1,36,== Career == | === 2000s ===
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Largemouth_bass,largemouth bass,1678,60,1.0,0.0,1,36,== Career == | === 2000s ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Largemouth_bass,largemouth bass,1678,60,1.0,0.0,1,36,== Career == | === 2000s ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Largemouth_bass,largemouth bass,1678,60,1.0,0.0,1,36,== Career == | === 2000s ===
http://umbel.org/umbel/rc/Fish,http://dbpedia.org/resource/Largemouth_bass,largemouth bass,1678,60,1.0,0.0,1,36,== Career == | === 2000s ===
