types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://umbel.org/umbel/rc/Festival,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInSomerset,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn2006,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Farmfestival,Farmfestival,4,96,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/ontology/Holiday,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/WikicatLiteraryFestivalsInTheUnitedKingdom,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
http://dbpedia.org/class/yago/WikicatFestivalsInCornwall,http://dbpedia.org/resource/Port_Eliot_Festival,Port Eliot Festival,20,110,1.0,0.0,2,5,== Career == | === 2016-2017 ===
