types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/WikicatAmericanDramatistsAndPlaywrights,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Dramatist110030277,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sidney_Michaels,Sidney Michaels,10,41,1.0,0.0,2,9,== Biography == | === Broadway ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/WikicatAmericanBands,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/WikicatAmericanPopMusicGroups,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/Set108240169,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/The_Brass_Ring,The Brass Ring,10,234,1.0,0.0,1,11,== Biography == | === Television ===
