types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Writer,http://dbpedia.org/resource/Phil_Mishkin,Phil Mishkin,4,164,1.0,0.0,2,10,== Career == | === 1990s ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Position108621598,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Post108624385,http://dbpedia.org/resource/Grand_Inquisitor,Grand Inquisitor,258,65,0.9901089345827394,0.0099898759336271,0,13,== Career == | === 1990s ===
