types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArizonaStatutes,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/WikicatRace-relatedLegalIssuesInTheUnitedStates,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Act106532095,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/Issue105814650,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/LegalDocument106479665,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/LegislativeAct106564387,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Arizona_SB_1070,Arizona SB 1070,214,43,1.0,0.0,0,32,== Career == | === 2010s ===
