types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/WikicatLaScalaWorldPremieres,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/WorldPremiere106894371,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/WikicatScienceFictionOperas,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/Cycle115287830,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Licht,LICHT,357,54,1.0,0.0,0,11,== Biography == | === Teaching ===
