types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/WikicatPersonalIdentificationDocuments,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Feature105849789,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/Property105849040,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
http://dbpedia.org/class/yago/WikicatFacialFeatures,http://dbpedia.org/resource/Eye_color,light-eyed,356,87,1.0,0.0,0,4,== Early life and accession in Aquitaine == | === Childhood ===
