types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/WikicatUnitedStates,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/WikicatUnitedStatesAtTheOlympics,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/United_States_at_the_2008_Summer_Olympics,2008 US Olympic team,358,121,1.0,0.0,0,32,== Career == | === 2008–2009: Detours ===
