types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJapaneseMartialArts,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/WikicatBattleCries,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Cry107120524,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/MartialArt100825443,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Protection100817680,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Self-defense100825192,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Term106303888,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/Utterance107109847,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
http://dbpedia.org/class/yago/WarCry107123404,http://dbpedia.org/resource/Kiai,Kiai,58,1,0.9999999999997868,2.0758784811891495e-13,0,109,== Discography == | === Soundtracks ===
