types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatWarCrimes,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatWorldWarIIResistanceMovements,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WarCrime100782518,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatGermanMilitaryOccupations,http://dbpedia.org/resource/German-occupied_Europe,Nazi-occupied territories,726,37,1.0,0.0,1,6,== Biography == | === Career ===
