types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAntihistamines,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/ontology/Drug,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/WikicatDrugs,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/WikicatVasoconstrictors,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Agent109190918,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Agent114778436,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Antihistamine102720725,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Drug103247620,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Medicine103740161,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Substance100020090,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
http://dbpedia.org/class/yago/Vasoconstrictor104522421,http://dbpedia.org/resource/Antihistamine,antihistamine,840,64,1.0,9.925885236524212e-15,0,15,== Post-NASA career == | === Television career ===
