types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlloys,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/WikicatCopperAlloys,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Alloy114586769,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Mixture114586258,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
http://dbpedia.org/class/yago/WikicatOpticalMaterials,http://dbpedia.org/resource/Speculum_metal,Speculum metal,62,31,1.0,0.0,10,36,== Astronomy == | ==== 40ft telescope ====
