types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAlbanianDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAmericanBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAmericanBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAmericanBalletTheatreDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAmericanBalletTheatrePrincipalDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAmericanBalletTheatreSoloists,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatArgentineBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatBalletCompanies,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatBalletMasters,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatBalletMistresses,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatBalletTeachers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatDanceCompanies,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatDanishBallerinas,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatDanishBalletDancers,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatYaleUniversityAlumni,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
