types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAbbreviations,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/WikicatInternetMemes,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Abbreviation107091587,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Acculturation105984936,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Code106667317,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Meme105985126,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
http://dbpedia.org/class/yago/WikicatTextingCodes,http://dbpedia.org/resource/LOL,lolz,290,130,1.0,0.0,13,9,== Sexual offences and criminal activity == | === Conviction ===
