types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/WikicatAlbums,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/WikicatInTheFishtankAlbums,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/In_the_Fishtank,In The Fishtank,20,0,1.0,0.0,1,24,== Discography == | === Cooperative works ===
