types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatAnti–deathPenaltyActivists,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatJapanesePacifists,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatJapanesePeople,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatJapaneseReligiousLeaders,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatJapaneseWriters,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatPeopleFromTokyo,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatBuddhistPacifists,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatBuddhistPhilosophers,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatBuddhistTeachers,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatBuddhistWriters,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/ontology/TimePeriod,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
