types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WikicatAbolishedTaxes,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WikicatActsOfTheParliamentOfGreatBritain,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WikicatGreatBritainActsOfParliament1765,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WikicatLawsLeadingToTheAmericanRevolution,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/WikicatRepealedGreatBritainActsOfParliament,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Act106532095,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Charge113400798,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/CivilLaw108453464,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Law108441203,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/LegalDocument106479665,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Legislation106535222,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Levy113308864,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Liabilities113396054,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Possession100032613,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
http://dbpedia.org/class/yago/Tax113308999,http://dbpedia.org/resource/Stamp_Act_1765,1765 Stamp Act,574,32,1.0,0.0,6,42,== Public life == | ==== Political work ====
