types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnarchistCollectives,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/WikicatAnarchistOrganizationsInNorthAmerica,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/WikicatCooperativesInCanada,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Collective108056601,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/CommercialEnterprise108065093,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Cooperative101100877,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1996,http://dbpedia.org/resource/Arbeiter_Ring_Publishing,Arbeiter Ring Publishing,19,9,1.0,0.0,4,14,== Career == | === Writing ===
