types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/WikicatInternationalFilmFestivals,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/WikicatVisitorAttractionsInSicily,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Celebration100428000,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Festival100517728,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/FilmFestival100517418,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
http://dbpedia.org/class/yago/WikicatFilmFestivalsInItaly,http://dbpedia.org/resource/Taormina_Film_Fest,Taormina Film Festival,104,47,1.0,0.0,3,14,== Feature Films == | === Tatterdemalion ===
