types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/WikicatAdultAnimationStudios,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Workplace104602044,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://umbel.org/umbel/rc/Business,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/BroadcastingStation102903405,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Channel103006398,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/GeographicPoint108578706,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Station104306080,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Studio104344246,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/TelevisionStation104406350,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mondo_Media,Mondo Media,99,30,1.0,0.0,3,12,== Career == | === Other ventures ===
