types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresCompletedIn1992,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInVancouver,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Armoury_Studios,Armoury Studios,28,83,1.0,0.0,4,32,== Biography == | === Transcendence (2014–2017) ===
