types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCryptographyOrganizations,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatDefunctUnitedStatesIntelligenceAgencies,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Intelligence108339454,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Signal_Intelligence_Service,Signal Intelligence Service,115,123,1.0,0.0,0,4,== Biography == | === Early years ===
