types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/WikicatPercussionEnsembles,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/WikicatBrazilianMusicalGroups,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/WikicatSambaEnsembles,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/Ensemble108188235,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Olodum,Grupo Cultural Olodum,85,52,1.0,0.0,4,33,== Career == | === 1986–1992 ===
