types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatInternationalNongovernmentalOrganizations,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatOrganizationsBasedInPrague,http://dbpedia.org/resource/Forum_2000,Forum 2000,22,99,1.0,0.0,5,40,== Music career == | === 2000s ===
