types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/WikicatUnitedStatesPresidentialInaugurations,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/WikicatNationalSpecialSecurityEvents,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/Inauguration100239910,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/First_inauguration_of_Barack_Obama,Obama inauguration,380,57,1.0,0.0,0,18,== Early life == | === Post-graduation ===
