types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Assistant109815790,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Model110324560,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Univox_Hi-Flier,Univox Hi-Flier,8,127,1.0,0.0,8,39,== Artistry == | === Performance ===
