types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/WikicatCoins,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Coin113388245,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Coinage113387877,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Currency113385913,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Gambling100430140,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Game100455599,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/GameOfChance100507673,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/MediumOfExchange113372961,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/Vice100747029,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
http://dbpedia.org/class/yago/WikicatGamesOfChance,http://dbpedia.org/resource/Coin_flipping,coin flip,788,62,0.999999999999801,2.0356075389951358e-13,1,10,== NFL career == | === Pittsburgh Steelers ===
