types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Ballad107049713,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/WikicatBritishFolkSongs,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/WikicatJoanBaezSongs,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/Wikicat18th-centurySongs,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
http://dbpedia.org/class/yago/WikicatBallads,http://dbpedia.org/resource/The_Trees_They_Grow_So_High,The Trees They Do Grow High,6,126,1.0,0.0,1,14,== Career == | === Recent career ===
