types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnimalsDescribedIn1758,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfEurope,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfIndia,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfIran,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfPakistan,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfPrey,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfTurkey,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfUkraine,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatBirdsOfWesternSahara,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/ontology/Bird,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://umbel.org/umbel/rc/Bird,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Bird101503061,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/BirdOfPrey101604330,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Chordate101466257,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Hawk101605630,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Vertebrate101471682,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatTrueHawks,http://dbpedia.org/resource/Eurasian_sparrowhawk,sparrow hawk,506,63,0.9999999999485852,5.1424352747194626e-11,2,96,== Works == | === Performance ===
