types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatPoetryAwards,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatSpanishLiteraryAwards,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
http://dbpedia.org/class/yago/WikicatAncientRomanFestivals,http://dbpedia.org/resource/Floral_Games,jocs florals,121,4,1.0,0.0,4,96,== Works == | === Performance ===
