types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Love107543288,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Antiphon107033245,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Chant107034634,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Devotion107544491,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Emotion107480068,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Feeling100026192,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/WikicatChants,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/WikicatChristianHymns,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/WikicatMarianAntiphons,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/WikicatMarianDevotions,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/WikicatMarianHymns,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Hymns_to_Mary,Marian Antiphons,104,15,1.0,0.0,1,9,== Early life and education == | === Writings ===
