types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/WikicatCategoryBListedBuildingsInEdinburgh,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/WikicatChurchesInEdinburgh,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/WikicatListedChurchesInScotland,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Church103028079,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Carrubbers_Christian_Centre,Carrubbers Close Mission,7,90,1.0,0.0,2,16,== Chicago and the postwar years == | === Evangelistic travels ===
