types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatBelarusianWriters,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Cleric,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Priest,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://schema.org/Person,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
http://dbpedia.org/class/yago/WikicatLinguistsFromPoland,http://dbpedia.org/resource/Franciszek_Bohomolec,Franciszek Bohomolec,26,168,1.0,0.0,0,5,== Career == | === 1778-1790 ===
