types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://schema.org/Person,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/FilmDirector110088200,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/FilmMaker110088390,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Producer110480018,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/WikicatGerman-languageFilmDirectors,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/WikicatSwissFilmDirectors,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
http://dbpedia.org/class/yago/WikicatSwissPeople,http://dbpedia.org/resource/Rolf_Lyssy,Rolf Lyssy,10,87,1.0,0.0,0,10,== Biography and career == | === Acting ===
