types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/ontology/RugbyPlayer,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/WikicatEthicalTheories,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
http://dbpedia.org/class/yago/WikicatPhilosophicalConcepts,http://dbpedia.org/resource/Deontological_ethics,Deontology,346,0,0.9999999988114324,0.0,1,89,== Bibliography == | === Publications ===
