types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatCentenarians,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatUnidentifiedPeople,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatPeopleFromEckernförde,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Alchemist109781921,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/BadPerson109831962,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Centenarian109904208,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Deceiver109998101,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Imposter110201535,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Inventor110214637,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Occultist110370381,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Oldster110376523,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatImpostors,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Wrongdoer109633969,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/Wikicat18th-centuryHungarianPeople,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatAlchemists,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatFrenchAlchemists,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatFrenchInventors,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatFrenchMusicians,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
http://dbpedia.org/class/yago/WikicatFrenchOccultists,http://dbpedia.org/resource/Count_of_St._Germain,Saint Germain,119,57,0.4821752049260109,0.809290821258953,1,27,== Biography == | === Legacy ===
