types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/ontology/WomensTennisAssociationTournament,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatDavidBowieConcertTours,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Travel100295701,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Wikicat1974ConcertTours,http://dbpedia.org/resource/Diamond_Dogs_Tour,Diamond Dogs tour,51,55,1.0,0.0,12,6,== Career == | === 1970–1979 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatIndieRockRecordLabels,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatBritishIndependentRecordLabels,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatRecordLabelsDisestablishedIn1985,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/WikicatRecordLabelsEstablishedIn1977,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Safari_Records,Safari Records,51,58,1.0,0.0,20,6,== Career == | === 1970–1979 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/WikicatLGBTEventsInTheUnitedStates,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/WikicatRecurringEventsDisestablishedIn2001,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/WikicatRecurringEventsDisestablishedIn2005,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1984,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn2003,http://dbpedia.org/resource/Wigstock,Wigstock,58,33,0.9999999992938058,0.0,2,12,== Career == | === 1980–present ===
