types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Comic,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/Conduction111512818,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/Discharge111511523,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/ElectricalConduction111512650,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/NaturalPhenomenon111408559,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/Phenomenon100034213,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/PhysicalPhenomenon111419404,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://dbpedia.org/class/yago/Process100029677,http://dbpedia.org/resource/Dying_Wish,Dying Wish,19,35,0.9999992004829392,0.0,3,16,== Biography == | === Starbreaker ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dysphoria,Dysphoria,256,27,0.9999996907753737,0.0,5,16,== Biography == | === Starbreaker ===
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/resource/Dysphoria,Dysphoria,256,27,0.9999996907753737,0.0,5,16,== Biography == | === Starbreaker ===
