types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/WikicatMapsOfManifolds,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Map103720163,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Representation104076846,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Submersion_(mathematics),Submersion,99,9,0.5874139789848775,0.6505050505050484,0,3,== Filmography == | === Film ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/WikicatLanguages,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/WikicatLanguagesOfCameroon,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/WikicatLanguagesOfGabon,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://dbpedia.org/class/yago/WikicatUbangianLanguages,http://dbpedia.org/resource/Baka_language,Baka,154,29,0.9999999973572072,1.9558194009171727e-09,0,15,== Filmography == | === TV drama ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nani_filmography,Nani,54,1,0.9988639716203374,0.0011372756087223,0,28,== Discography == | === Singles ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Wikicat7th-centuryPeople,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Wikicat7th-centuryPersianPeople,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Wikicat7th-centuryWomen,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatHarpists,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatIranianComposers,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatIranianMusicians,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatSasanianMusicians,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Harpist110160770,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Nagisa_(harpist),Nagisa,12,1,0.9999999648338764,0.0,0,36,== Discography == | === Singles ===
