paragraph,paragraphIndex,section
"Haruka Yamazaki (山崎 はるか, born June 27, 1991 in Kanagawa Prefecture) is a Japanese voice actress and singer affiliated with Arts Vision. Yamazaki has had main roles in several anime shows including as Tomoyo Kanzaki in When Supernatural Battles Became Commonplace, Lilith Bristol in Absolute Duo, and Mero in Monster Musume.
",0,N/A
"== Appearance ==
",1,== Appearance ==
"=== Television animation ===
",2,== Appearance == | === Television animation ===
"==== 2011 ====
",3,== Appearance == | ==== 2011 ====
"YuruYuri as Eri's mother, girl student A, Hiro Takaoka, light music club member, student, visiting salesperson
",4,== Appearance == | ==== 2011 ====
"==== 2012 ====
",5,== Appearance == | ==== 2012 ====
"Kokoro Connect as Kaidō
",6,== Appearance == | ==== 2012 ====
"YuruYuri♪♪ as Elementary school teacher, Eri's mother, ōmuro family's mother, TV newscaster
",7,== Appearance == | ==== 2012 ====
"Hayate the Combat Butler! Heaven Is a Place on Earth as Ruka Suirenji
",8,== Appearance == | ==== 2012 ====
"Hayate the Combat Butler! Can't Take My Eyes Off You as Ruka Suirenji
",9,== Appearance == | ==== 2012 ====
"Lagrange: The Flower of Rin-ne as Kana Nitta
",10,== Appearance == | ==== 2012 ====
"Say I Love You as boy, female student, Izumi
",11,== Appearance == | ==== 2012 ====
"==== 2013 ====
",12,== Appearance == | ==== 2013 ====
"Vividred Operation as Mizuha Amagi
",13,== Appearance == | ==== 2013 ====
"Hayate the Combat Butler! Cuties as Ruka Suirenji
",14,== Appearance == | ==== 2013 ====
"High School DxD New as Aika Kiriyuu
",15,== Appearance == | ==== 2013 ====
"AKB0048 as audience A
",16,== Appearance == | ==== 2013 ====
"Oreshura as Satuki Aoba, Yoshino Suzumiya, female student
",17,== Appearance == | ==== 2013 ====
"Kotoura-san as girl
",18,== Appearance == | ==== 2013 ====
"The Pet Girl of Sakurasou as Hase Kanna
",19,== Appearance == | ==== 2013 ====
"Suisei no Gargantia as Parinuri
",20,== Appearance == | ==== 2013 ====
"Stella Women's Academy, High School Division Class C³ as Miyagi Motiduki
",21,== Appearance == | ==== 2013 ====
"Da Capo III
",22,== Appearance == | ==== 2013 ====
"A Certain Scientific Railgun as older sister, woman
",23,== Appearance == | ==== 2013 ====
"Nagi-Asu: A Lull in the Sea as Nachi Yanagi
",24,== Appearance == | ==== 2013 ====
"The Devil Is a Part-Timer! as Kaori Syouji, clerk
",25,== Appearance == | ==== 2013 ====
"Free! as girl
",26,== Appearance == | ==== 2013 ====
"White Album 2 as Aki Hukaya
",27,== Appearance == | ==== 2013 ====
"Love Live! as student A
",28,== Appearance == | ==== 2013 ====
"Ro-Kyu-Bu! as Yume Nakano
",29,== Appearance == | ==== 2013 ====
"==== 2014 ====
",30,== Appearance == | ==== 2014 ====
"Haikyū!! as Natsu Hinata, Ms. Ono, student A
",31,== Appearance == | ==== 2014 ====
"When Supernatural Battles Became Commonplace as Tomoyo Kanzaki
",32,== Appearance == | ==== 2014 ====
"Black Butler as girl
",33,== Appearance == | ==== 2014 ====
"Your Lie in April as boy
",34,== Appearance == | ==== 2014 ====
"WIXOSS as female student
",35,== Appearance == | ==== 2014 ====
"Doraemon as clerk, girl
",36,== Appearance == | ==== 2014 ====
"==== 2015 ====
",37,== Appearance == | ==== 2015 ====
"Absolute Duo as Lilith Bristol
",38,== Appearance == | ==== 2015 ====
"High School DxD BorN as Aika Kiriyuu
",39,== Appearance == | ==== 2015 ====
"Monster Musume as Meroune ""Mero"" Lorelei
",40,== Appearance == | ==== 2015 ====
"Mobile Suit Gundam: Iron-Blooded Orphans as Fuka Uno
",41,== Appearance == | ==== 2015 ====
"Crayon Shin-chan as sister's Kappa
",42,== Appearance == | ==== 2015 ====
"A Boring World Where the Concept of Dirty Jokes Doesn't Exist as boy named Yukiti
",43,== Appearance == | ==== 2015 ====
"Nintama Rantarō as princess
",44,== Appearance == | ==== 2015 ====
"==== 2016 ====
",45,== Appearance == | ==== 2016 ====
"Danganronpa 3: The End of Hope's Peak High School as Natsumi Kuzuryu
",46,== Appearance == | ==== 2016 ====
"Keijo!!!!!!!! as girl
",47,== Appearance == | ==== 2016 ====
"Pandora in the Crimson Shell: Ghost Urn as gym uniform, caster
",48,== Appearance == | ==== 2016 ====
"Alderamin on the Sky as ninica, sia
",49,== Appearance == | ==== 2016 ====
"Bubuki/Buranki as child
",50,== Appearance == | ==== 2016 ====
"Heavy Object as cleaning service
",51,== Appearance == | ==== 2016 ====
"Magical Girl Raising Project as Yoshiko
",52,== Appearance == | ==== 2016 ====
"Monster Hunter Stories as Nariki
",53,== Appearance == | ==== 2016 ====
"==== 2018 ====
",54,== Appearance == | ==== 2018 ====
"Magical Girl Site as Sarina Shizukume
",55,== Appearance == | ==== 2018 ====
"==== 2019 ====
",56,== Appearance == | ==== 2019 ====
"My Roommate Is a Cat as Haru
",57,== Appearance == | ==== 2019 ====
"==== 2021 ====
",58,== Appearance == | ==== 2021 ====
"Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town as Kikyou
",59,== Appearance == | ==== 2021 ====
"=== Animation film ===
",60,== Appearance == | === Animation film ===
"==== 2011 ====
",61,== Appearance == | ==== 2011 ====
"Hayate the Combat Butler! Heaven Is a Place on Earth as Ruka Suirenji
",62,== Appearance == | ==== 2011 ====
"==== 2015 ====
",63,== Appearance == | ==== 2015 ====
"Pandora in the Crimson Shell: Ghost Urn as bunny girl, girl
",64,== Appearance == | ==== 2015 ====
"Love Live! The School Idol Movie as school idol
",65,== Appearance == | ==== 2015 ====
"=== OVA ===
",66,== Appearance == | === OVA ===
"==== 2014 ====
",67,== Appearance == | ==== 2014 ====
"Hayate the Combat Butler as Ruka Suirenji
",68,== Appearance == | ==== 2014 ====
"==== 2016 ====
",69,== Appearance == | ==== 2016 ====
"Monster Musume as Meroune ""Mero"" Lorelei
",70,== Appearance == | ==== 2016 ====
"=== Web animation ===
",71,== Appearance == | === Web animation ===
"==== 2016 ====
",72,== Appearance == | ==== 2016 ====
"Monster Strike as Mariko Kobayashi
",73,== Appearance == | ==== 2016 ====
"=== Games ===
",74,== Appearance == | === Games ===
"==== 2012 ====
",75,== Appearance == | ==== 2012 ====
"Waguruma as Neverell
",76,== Appearance == | ==== 2012 ====
"==== 2013 ====
",77,== Appearance == | ==== 2013 ====
"The Idolmaster Million Live! as Mirai Kasuga
",78,== Appearance == | ==== 2013 ====
"Akiba's Trip: Undead & Undressed as Kati Räikkönen
",79,== Appearance == | ==== 2013 ====
"Vividred Operation as Mizuha Amagi
",80,== Appearance == | ==== 2013 ====
"==== 2014 ====
",81,== Appearance == | ==== 2014 ====
"The Idolmaster One For All as Mirai Kasuga
",82,== Appearance == | ==== 2014 ====
"DYNAMIC CHORD feat.[reve parfait] as Ayu Suzuhara
",83,== Appearance == | ==== 2014 ====
"Majika★Majika as Airi Gekkyō
",84,== Appearance == | ==== 2014 ====
"==== 2015 ====
",85,== Appearance == | ==== 2015 ====
"Omega Labyrinth as Aina Akemiya
",86,== Appearance == | ==== 2015 ====
"Photon Angels as Fee, Fran
",87,== Appearance == | ==== 2015 ====
"magicianwiz as Sophie Hernnet
",88,== Appearance == | ==== 2015 ====
"Crusader Quest as Sara
",89,== Appearance == | ==== 2015 ====
"White cat Project as Makina
",90,== Appearance == | ==== 2015 ====
"ja:しんぐんデストロ〜イ! as Mirai Kasuga
",91,== Appearance == | ==== 2015 ====
"Muramasa miyabi as Claws of Akane, Iwami Mitsumitsu
",92,== Appearance == | ==== 2015 ====
"Diss World as Bertha
",93,== Appearance == | ==== 2015 ====
"Tokyo Xanadu as Mitsuki Hokuto
",94,== Appearance == | ==== 2015 ====
"NET HIGH as Yuuko Megasawa
",95,== Appearance == | ==== 2015 ====
"Popup Story as Ōgami Kirara
",96,== Appearance == | ==== 2015 ====
"Monster Musume Online as Meroune ""Mero"" Lorelei
",97,== Appearance == | ==== 2015 ====
"Royal flush Heroes as Joyce Fraser
",98,== Appearance == | ==== 2015 ====
"==== 2016 ====
",99,== Appearance == | ==== 2016 ====
"Akiba's Trip as Kati Raikkonen
",100,== Appearance == | ==== 2016 ====
"Collar×Malice as HANA
",101,== Appearance == | ==== 2016 ====
"Code:Realize as Shirley Gordon
",102,== Appearance == | ==== 2016 ====
"Vacuum tube dolls as Nancy
",103,== Appearance == | ==== 2016 ====
"Muramasa miyabi as Houzouin Insyun
",104,== Appearance == | ==== 2016 ====
"Tokyo Xanadu eX+ as Mitsuki Hokuto
",105,== Appearance == | ==== 2016 ====
"Drift Girls as Haruka Umitani
",106,== Appearance == | ==== 2016 ====
"Formation Girls as Kira Sasai2017
",107,== Appearance == | ==== 2016 ====
"Azur Lane as USS Independence, KMS U-81
",108,== Appearance == | ==== 2016 ====
"==== 2018 ====
",109,== Appearance == | ==== 2018 ====
" Bullet Girls Phantasia as Silvia Hortensia
",110,== Appearance == | ==== 2018 ====
"==== 2019 ====
",111,== Appearance == | ==== 2019 ====
"Arknights as Grani
",112,== Appearance == | ==== 2019 ====
"==== 2020 ====
",113,== Appearance == | ==== 2020 ====
"The Idolmaster: Starlit Season as Mirai Kasuga
",114,== Appearance == | ==== 2020 ====
"==== 2021 ====
",115,== Appearance == | ==== 2021 ====
"Livestream: Escape from Hotel Izanami (2021), Mio Ikoma,
",116,== Appearance == | ==== 2021 ====
"=== Drama CD ===
",117,== Appearance == | === Drama CD ===
"==== 2015 ====
",118,== Appearance == | ==== 2015 ====
"The Idolmaster Million Live! as Mirai Kasuga
",119,== Appearance == | ==== 2015 ====
"Millennial War Aigis as Kaguya
",120,== Appearance == | ==== 2015 ====
"=== Radio ===
",121,== Appearance == | === Radio ===
"Yamazaki Haruka ""To the sky where we are running"" (2011)
",122,== Appearance == | === Radio ===
"THE IDOLM@STER MillionRADIO (2013 -, Live Niconico)
",123,== Appearance == | === Radio ===
"When Supernatural Battles Became Radio (2014 – 2015, Internet Radio Station Onsen}
",124,== Appearance == | === Radio ===
"Absolute Radio ~Couryou Academy Broadcasting Club~ (2014 – 2015, Internet Radio Station Onsen)
",125,== Appearance == | === Radio ===
"Radio Dot AI, Yamazaki Haruka ""Piyoshichi was said to be a pretty royal female voice actor but the enthusiast temperament inside of her disturbs."" (2015, AG-ON and A&G+)
",126,== Appearance == | === Radio ===
"Daily conversation with Monster Girls (2015, Internet Radio Station Onsen)
",127,== Appearance == | === Radio ===
"Aimi and Haruka 2 years A group youth active club! (2016 -, Live Niconico)
",128,== Appearance == | === Radio ===
"=== Radio CD ===
",129,== Appearance == | === Radio CD ===
"==== 2015 ====
",130,== Appearance == | ==== 2015 ====
"THE IDOLM@STER MILLION RADIO! DJCD Vol.01
",131,== Appearance == | ==== 2015 ====
"Radio CD ""Absolute Radio ~Couryou Academy Broadcasting Club~"" Vol.1 – 2
",132,== Appearance == | ==== 2015 ====
"Radio CD ""When Supernatural Battles Became Radio"" Vol.1 – 2
",133,== Appearance == | ==== 2015 ====
"=== TV program ===
",134,== Appearance == | === TV program ===
