entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,wikiPageID,entity
person,http://dbpedia.org/resource/Jean_Lafitte,http://dbpedia.org/ontology/Person,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,
person,http://dbpedia.org/resource/Playwright,http://dbpedia.org/ontology/Person,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,
person,http://dbpedia.org/resource/Novelist,http://dbpedia.org/ontology/Person,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,
person,http://dbpedia.org/resource/Journalist,http://dbpedia.org/ontology/Person,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,
person,http://dbpedia.org/resource/Comedian,http://dbpedia.org/ontology/Person,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,
time,,,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,2 June 1796
time,,,"Jean-Baptiste-Pierre Lafitte (2 June 1796 – 6 March 1879) was a 19th-century French playwright, novelist, journalist and comedian.",0,0,,50686116,6 March 1879
time,,,"Gustave Vapereau, Dictionnaire universel des contemporains, 1870, p. 1030",0,4,== Bibliography ==,50686116,1870
time,,,"Gustave Vapereau, Dictionnaire universel des contemporains, 1870, p. 1030",0,4,== Bibliography ==,50686116,1030
time,,,"Alfred Mézière, Lettres, sciences, arts: Encyclopédie universelle du XXe, 1908, p. 36",0,5,== Bibliography ==,50686116,1908
time,,,"Alfred Mézière, Lettres, sciences, arts: Encyclopédie universelle du XXe, 1908, p. 36",0,5,== Bibliography ==,50686116,36
