entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID,timeEntityType
person,http://dbpedia.org/resource/John_Erskine_of_Dun,http://dbpedia.org/ontology/Person,"John Erskine (October 5, 1879 – June 2, 1951) was an American educator and author, pianist and composer.",0,0,,,,,,,859482,
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"John Erskine (October 5, 1879 – June 2, 1951) was an American educator and author, pianist and composer.",0,0,,,,,,,859482,
person,http://dbpedia.org/resource/General_officer,http://dbpedia.org/ontology/Person,During his tenure at Columbia University he formulated the General Honors Course—responsible for inspiring the influential Great Books movement.,3,0,,,,,,,859482,
person,http://dbpedia.org/resource/James_W._Morrison,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Erskine was born in New York City, New York, the son of Eliza Jane (née Hollingsworth) and James Morrison Erskine.",0,2,== Early life and education ==,57.0,James Morrison,92.0,0.9894236880642716,0.0064892624801227,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Erskine was born in New York City, New York, the son of Eliza Jane (née Hollingsworth) and James Morrison Erskine.",0,2,== Early life and education ==,324.0,Erskine,0.0,0.9999833133165772,1.5409586126100543e-05,859482,
place,http://dbpedia.org/resource/New_York_City,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Erskine was born in New York City, New York, the son of Eliza Jane (née Hollingsworth) and James Morrison Erskine.",0,2,== Early life and education ==,210990.0,"New York City, New York",20.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Erskine was born in New York City, New York, the son of Eliza Jane (née Hollingsworth) and James Morrison Erskine.",0,2,== Early life and education ==,324.0,Erskine,107.0,0.9999833133165772,1.5409586126100543e-05,859482,
place,http://dbpedia.org/resource/New_Jersey,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","and raised in Weehawken, New Jersey.",1,2,== Early life and education ==,115370.0,New Jersey,25.0,0.9999752948888254,2.3973337278506545e-05,859482,
person,http://dbpedia.org/resource/General_officer,http://dbpedia.org/ontology/Person,"In 1920, he instituted Columbia College's General Honors Course, a two-year undergraduate seminar that would later help inspire ""Masterworks of Western Literature,"" now known commonly as ""Literature Humanities,"" the second component of Columbia College's Core Curriculum.",2,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Western_literature,http://dbpedia.org/ontology/Person,"In 1920, he instituted Columbia College's General Honors Course, a two-year undergraduate seminar that would later help inspire ""Masterworks of Western Literature,"" now known commonly as ""Literature Humanities,"" the second component of Columbia College's Core Curriculum.",2,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Mark_Van_Doren,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","He found little support for the course from the senior faculty, and junior faculty members like Mark Van Doren and later after 1923, Mortimer Adler took up sections of the course.",4,4,== Career ==,171.0,Mark Van Doren,96.0,1.0,0.0,859482,
person,http://dbpedia.org/resource/Mortimer_J._Adler,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q4964182,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Philosopher","He found little support for the course from the senior faculty, and junior faculty members like Mark Van Doren and later after 1923, Mortimer Adler took up sections of the course.",4,4,== Career ==,176.0,Mortimer Adler,133.0,1.0,0.0,859482,
person,http://dbpedia.org/resource/Dankmar_Adler,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","In 1929, Adler left Columbia to join University of Chicago, where he continued to work on the theme with Robert Hutchins, President of the university.",7,4,== Career ==,92.0,Adler,9.0,0.5368340265177373,0.8058728028798872,859482,
person,http://dbpedia.org/resource/Robert_Maynard_Hutchins,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","In 1929, Adler left Columbia to join University of Chicago, where he continued to work on the theme with Robert Hutchins, President of the university.",7,4,== Career ==,185.0,Robert Hutchins,105.0,1.0,1.2213463524527862e-15,859482,
place,http://dbpedia.org/resource/Chicago,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","In 1929, Adler left Columbia to join University of Chicago, where he continued to work on the theme with Robert Hutchins, President of the university.",7,4,== Career ==,131732.0,Chicago,51.0,0.9298567056187218,0.0754203827407993,859482,
person,http://dbpedia.org/resource/President_of_the_United_States,http://dbpedia.org/ontology/Person,"In 1929, Adler left Columbia to join University of Chicago, where he continued to work on the theme with Robert Hutchins, President of the university.",7,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Melville_Henry_Cane,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Erskine co-wrote the 1900 Varsity Show at Columbia, writing the musical score for The Governor's Vrouw (1900), a two-act comic opera by Henry Sydnor Harrison and poet Melville Cane, who also wrote the lyrics.",9,4,== Career ==,12.0,Melville Cane,167.0,1.0,0.0,859482,
place,http://dbpedia.org/resource/Erskine,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Erskine co-wrote the 1900 Varsity Show at Columbia, writing the musical score for The Governor's Vrouw (1900), a two-act comic opera by Henry Sydnor Harrison and poet Melville Cane, who also wrote the lyrics.",9,4,== Career ==,324.0,Erskine,0.0,0.90522214053863,0.0521821481230215,859482,
person,http://dbpedia.org/resource/Henry_Sydnor_Harrison,http://dbpedia.org/ontology/Person,"Erskine co-wrote the 1900 Varsity Show at Columbia, writing the musical score for The Governor's Vrouw (1900), a two-act comic opera by Henry Sydnor Harrison and poet Melville Cane, who also wrote the lyrics.",9,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"Erskine co-wrote the 1900 Varsity Show at Columbia, writing the musical score for The Governor's Vrouw (1900), a two-act comic opera by Henry Sydnor Harrison and poet Melville Cane, who also wrote the lyrics.",9,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Alexander_Korda,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","This novel was made into a silent film by the same the name in 1927, directed by Alexander Korda.",12,4,== Career ==,652.0,Alexander Korda,81.0,1.0,0.0,859482,
person,http://dbpedia.org/resource/Louis_King,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Other films based on his works included A Lady Surrenders (1930) by John M. Stahl, Bachelor of Arts (1934) by Louis King and The President's Mystery (1936) directed by Phil Rosen.",13,4,== Career ==,96.0,Louis King,110.0,1.0,1.2527340497167963e-14,859482,
person,http://dbpedia.org/resource/Phil_Rosen,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Other films based on his works included A Lady Surrenders (1930) by John M. Stahl, Bachelor of Arts (1934) by Louis King and The President's Mystery (1936) directed by Phil Rosen.",13,4,== Career ==,162.0,Phil Rosen,168.0,1.0,0.0,859482,
person,http://dbpedia.org/resource/President_of_the_United_States,http://dbpedia.org/ontology/Person,"Other films based on his works included A Lady Surrenders (1930) by John M. Stahl, Bachelor of Arts (1934) by Louis King and The President's Mystery (1936) directed by Phil Rosen.",13,4,== Career ==,,,,,,859482,
person,http://dbpedia.org/resource/Christopher_Isherwood,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer",The 1956 biopic of French noblewoman Diane de Poitiers entitled Diane was based on his story with a screenplay by Christopher Isherwood.,14,4,== Career ==,485.0,Isherwood,126.0,0.9999999333641107,6.663300429023368e-08,859482,
place,http://dbpedia.org/resource/France,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",The 1956 biopic of French noblewoman Diane de Poitiers entitled Diane was based on his story with a screenplay by Christopher Isherwood.,14,4,== Career ==,262297.0,French,19.0,0.6831207179200152,0.3712757410507082,859482,
place,http://dbpedia.org/resource/Poitiers,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",The 1956 biopic of French noblewoman Diane de Poitiers entitled Diane was based on his story with a screenplay by Christopher Isherwood.,14,4,== Career ==,1984.0,Poitiers,46.0,0.9920055923532362,0.0039083814398874,859482,
person,http://dbpedia.org/resource/Eve,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q43115,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Cleric,DBpedia:Agent,DBpedia:Saint","These included Penelope's Man and Adam and Eve, Though He Knew Better.",16,4,== Career ==,1675.0,Eve,43.0,0.9520599058066292,0.0503341340077162,859482,
person,http://dbpedia.org/resource/Penelope,http://dbpedia.org/ontology/Person,"These included Penelope's Man and Adam and Eve, Though He Knew Better.",16,4,== Career ==,,,,,,859482,
