URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section,entType,wikiPageID
http://dbpedia.org/resource/Stephen_V_of_Hungary,623,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Royalty",Stephen,64,0.6744801452722767,0.3537577161389602,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Stephen_Stills,1056,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Stills,72,1.0,1.794252333202675e-20,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Neil_Young,3867,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Neil Young,80,1.0,5.396573307987261e-18,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Bruce_Palmer,89,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Bruce Palmer,92,1.0,3.38439993232512e-24,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Jim_Messina_(musician),217,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Jim Messina,138,0.9677329722623118,0.0333423692057455,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Timothy_Bottoms,191,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Timothy,151,0.9116892839218576,0.0953336467721858,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Rusty_Wallace,1227,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q378622,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:RacingDriver,DBpedia:Person,DBpedia:MotorsportRacer,DBpedia:Athlete,DBpedia:Agent,DBpedia:NascarDriver",Rusty,170,0.910717612198286,0.0972700172717144,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/George_Gershwin,4430,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",George,183,0.9298730401041948,0.0532781413559325,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Randy_Meisner,240,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Randy Meisner,203,1.0,9.177949596208835e-32,"He is best known for forming the bands Buffalo Springfield with Stephen Stills, Neil Young, Bruce Palmer, and Dewey Martin, and Poco with Jim Messina, Timothy B. Schmit, Rusty Young, George Grantham and Randy Meisner.",1,0,,person,782651
http://dbpedia.org/resource/Nancy_Sinatra,790,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Nancy,172,0.828706176397905,0.1742286147371517,"His best known song (originally written during his tenure in Buffalo Springfield, but eventually performed by Poco, as well) was ""Kind Woman,"" which he wrote for his wife, Nancy.",2,0,,person,782651
http://dbpedia.org/resource/Stephen_Stills,1056,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Stills,49,1.0,6.725285185820479e-22,"Before Buffalo Springfield, Furay performed with Stills in the nine-member group, the Au Go Go Singers (Furay, Roy Michaels, Rick Geiger, Jean Gurney, Michael Scott, Kathy King, Nels Gustafson, Bob Harmelink, and Stills), the house band of the famous Cafe Au Go Go in New York City.",0,2,== Life and career ==,person,782651
http://dbpedia.org/resource/Dan_Gurney,449,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q378622,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:RacingDriver,DBpedia:Person,DBpedia:MotorsportRacer,DBpedia:Athlete,DBpedia:Agent,DBpedia:FormulaOneRacer",Gurney,143,0.994843216688867,0.0028943668930716,"Before Buffalo Springfield, Furay performed with Stills in the nine-member group, the Au Go Go Singers (Furay, Roy Michaels, Rick Geiger, Jean Gurney, Michael Scott, Kathy King, Nels Gustafson, Bob Harmelink, and Stills), the house band of the famous Cafe Au Go Go in New York City.",0,2,== Life and career ==,person,782651
http://dbpedia.org/resource/Stephen_Stills,1056,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Stills,213,1.0,6.725285185820479e-22,"Before Buffalo Springfield, Furay performed with Stills in the nine-member group, the Au Go Go Singers (Furay, Roy Michaels, Rick Geiger, Jean Gurney, Michael Scott, Kathy King, Nels Gustafson, Bob Harmelink, and Stills), the house band of the famous Cafe Au Go Go in New York City.",0,2,== Life and career ==,person,782651
http://dbpedia.org/resource/Jim_Messina_(musician),217,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Jim Messina,61,0.9677329722623392,0.0333423692057474,"In the late 1960s, he formed the country rock band Poco with Jim Messina (who produced albums and occasionally played bass for Buffalo Springfield) and Rusty Young.",0,3,== Life and career ==,person,782651
http://dbpedia.org/resource/Al_Perkins,154,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Al Perkins,17,1.0,3.725183855544513e-15,"During this time Al Perkins, the band's pedal steel guitar player, introduced Furay to Christianity.",4,3,== Life and career ==,person,782651
