thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex,source
Personal life,Confidence value: 0.85832185,Education,Confidence value: 0.13986932,0,0,ML
Business meeting,Confidence value: 0.6237946,Education,Confidence value: 0.3759919,0,1,ML
Public celebration,Confidence value: 0.99442923,Music making,Confidence value: 0.0054351105,1,1,ML
Music making,Confidence value: 0.9999993,Personal life,Confidence value: 5.398955e-07,2,1,ML
Public celebration,Confidence value: 0.99637574,Business meeting,Confidence value: 0.0017767178,0,2,ML
Education,Confidence value: 0.9117626,Music making,Confidence value: 0.06982018,3,2,ML
Personal life,Confidence value: 0.9999989,Public celebration,Confidence value: 5.098014e-07,0,4,ML
Personal life,Confidence value: 0.99998283,Coincidence,Confidence value: 1.6519734e-05,1,4,ML
Education,Confidence value: 0.9996094,Coincidence,Confidence value: 0.000320066,6,4,ML
Business meeting,Confidence value: 0.43961188,Coincidence,Confidence value: 0.28546003,0,7,ML
Education,Confidence value: 0.9991443,Business meeting,Confidence value: 0.0008189471,2,7,ML
Public celebration,Confidence value: 0.7387513,Coincidence,Confidence value: 0.116172045,3,7,ML
Business meeting,Confidence value: 0.9570494,Education,Confidence value: 0.029769484,5,7,ML
Music making,Personal life,Songs about Michigan,Emotional expressions,2,8,LLM
Music making,Confidence value: 0.6434927,Business meeting,Confidence value: 0.35506645,3,8,ML
Music making,Confidence value: 0.5115741,Business meeting,Confidence value: 0.2064316,4,8,ML
Public celebration,Personal life,Exploring cities and events,Personal experiences and relationships,1,9,LLM
Coincidence,Confidence value: 0.99510926,Music making,Confidence value: 0.003639271,2,9,ML
Public celebration,Confidence value: 0.63402796,Personal life,Confidence value: 0.23128194,3,9,ML
Business meeting,Confidence value: 0.99998283,Coincidence,Confidence value: 1.5567979e-05,4,9,ML
Music making,Confidence value: 0.9626494,Public celebration,Confidence value: 0.035099905,7,9,ML
Public celebration,Confidence value: 0.9996183,Music making,Confidence value: 0.00033526614,8,9,ML
Public celebration,Confidence value: 0.8094453,Coincidence,Confidence value: 0.18622582,9,9,ML
Business meeting,Confidence value: 0.53108346,Music making,Confidence value: 0.42230168,10,9,ML
Business meeting,Confidence value: 0.87111616,Music making,Confidence value: 0.1246422,11,9,ML
Public celebration,Confidence value: 0.99973613,Personal life,Confidence value: 0.00024109993,13,9,ML
Business meeting,Confidence value: 0.711667,Coincidence,Confidence value: 0.2738269,0,10,ML
Business meeting,Confidence value: 0.6336914,Coincidence,Confidence value: 0.31011656,1,10,ML
Music making,Confidence value: 0.99846077,Business meeting,Confidence value: 0.001211309,0,12,ML
Personal life,Confidence value: 0.98022306,Coincidence,Confidence value: 0.019453587,1,12,ML
Business meeting,Confidence value: 0.9193505,Coincidence,Confidence value: 0.08064448,2,12,ML
Music making,Confidence value: 0.63552403,Business meeting,Confidence value: 0.314929,3,12,ML
Public celebration,Confidence value: 0.46266404,Education,Confidence value: 0.42302728,11,13,ML
Music making,Public celebration,Creating acoustic videos,Celebrating anniversary with concerts,12,13,LLM
Music making,Confidence value: 0.3991828,Public celebration,Confidence value: 0.34128729,16,13,ML
Music making,Confidence value: 0.99996424,Business meeting,Confidence value: 3.5588742e-05,18,13,ML
Education,Confidence value: 0.9992411,Music making,Confidence value: 0.00043265073,3,14,ML
Personal life,Confidence value: 0.93689215,Education,Confidence value: 0.031668577,4,14,ML
Music making,Confidence value: 1.0,Public celebration,Confidence value: 2.1334304e-10,0,15,ML
Business meeting,Confidence value: 0.993722,Public celebration,Confidence value: 0.006254906,1,15,ML
Business meeting,Confidence value: 0.9519961,Education,Confidence value: 0.029366836,0,19,ML
Music making,Confidence value: 0.93765664,Business meeting,Confidence value: 0.061838955,1,19,ML
Business meeting,Confidence value: 0.9987638,Public celebration,Confidence value: 0.00062855915,3,19,ML
Music making,Confidence value: 0.8451539,Business meeting,Confidence value: 0.14634132,4,19,ML
Business meeting,Confidence value: 0.99889,Coincidence,Confidence value: 0.0008544149,6,19,ML
Public celebration,Confidence value: 0.99930453,Coincidence,Confidence value: 0.0006761442,7,19,ML
Business meeting,Confidence value: 0.9999989,Education,Confidence value: 1.0562939e-06,10,19,ML
Business meeting,Confidence value: 0.6882664,Coincidence,Confidence value: 0.311678,0,20,ML
Coincidence,Confidence value: 0.84434795,Music making,Confidence value: 0.12132443,1,20,ML
Business meeting,Confidence value: 0.9939948,Music making,Confidence value: 0.005888558,4,20,ML
Music making,Confidence value: 0.5953508,Business meeting,Confidence value: 0.3332808,6,20,ML
