,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,Maggie MacNeal (born Sjoukje Lucie van 't Spijker; 5 May 1950) is a Dutch singer.,0.009800414,0.007665114,2.0987365e-05,3.674261e-05,0.98234046,0.00013632697
1,"She was a member of Mouth & MacNeal, a pop duo from the Netherlands, who are best known for their million-selling recording of ""How Do You Do"" in 1972, which topped the Dutch chart and became a US top ten hit, and for representing the Netherlands at the 1974 Eurovision Song Contest, finishing third with the song ""I See a Star"", which went on to become a UK top ten hit.",0.27947828,0.023820143,0.0070960294,0.67943424,0.002373128,0.0077980803
2,==,0.12487781,0.21344641,0.0013716524,0.0017026925,0.6586014,7.902465e-08
3,Career ==,1.0,4.7553666e-13,2.1761314e-17,4.5407573e-19,9.245199e-14,7.686009e-12
4,"MacNeal had released one solo single – a cover, produced by Hans van Hemert, of ""I Heard It Through the Grapevine"", written by Norman Whitfield and Barrett Strong and made famous by singer Marvin Gaye – before teaming up with Willem Duyn (Mouth), to form the duo known as Mouth & MacNeal, recording Pop international hits such as ""How Do You Do"" (1971) and ""Hello-A"" (1972).",0.00025447222,2.1740736e-05,4.5754157e-05,0.993457,0.006217298,3.7095608e-06
5,"She was with Mouth & MacNeal from 1971 to 1974 including a participation in the 1974 Eurovision Song Contest with the song ""I See a Star"".",0.017815867,0.0027120975,5.5159486e-08,0.97922873,0.00016941527,7.385348e-05
6,"After their breakup, she formed her own group in 1975 with her husband Frans Smit (drums), Adri de Hont (guitar), Ben Vermeulen and Wil de Meyer (bass guitar).",0.9574999,0.00028507313,0.0012048623,0.04000119,0.0010034173,5.490271e-06
7,"In 1977, the line-up changed to Smit, Jons Pistoor, Lex Bolderdijk, and Robert Verwey (bass).",0.86401653,4.6732165e-08,8.825848e-09,0.036933184,0.09905011,1.449547e-07
8,She participated again in the Eurovision Song Contest 1980 where she finished in 5th place with the song Amsterdam.,0.0010076249,0.00024217431,8.59214e-06,0.07812984,0.8214319,0.0991798
9,"MacNeal was one of the artists who recorded the song Shalom from Holland as a token of solidarity to the Israeli people, threatened by missiles from Iraq, during the first Gulf War in 1991.",0.00025249063,0.62449294,2.1577582e-08,0.122148156,0.21741301,0.035693347
10,"In 2000, she became a member of the Dutch Divas, together with Marga Bult.",0.05118315,0.85164386,0.000483871,0.0027177723,9.647439e-06,0.09396163
11,==,0.12487781,0.21344641,0.0013716524,0.0017026925,0.6586014,7.902465e-08
12,Discography ==,0.9999943,1.2030752e-08,8.358399e-10,5.3618996e-06,2.8147706e-09,3.2553942e-07
