,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Francesco Banchini (born 24 September 1974, Pozzuoli, Italy) is an italian musician who plays many instruments, primarily clarinet.",8.789488e-06,7.2304254e-05,0.00566189,0.91044813,0.083808884,1.9100084e-09
1,"His main influences are the Medieval, Italian, Eastern European and Middle Eastern music.",9.987093e-05,0.007784843,0.050661992,0.017625324,0.92382795,3.0515707e-10
2,At the age of 14 he began to learn in the Conservatorio di San Pietro a Majella of Naples.,2.4683197e-07,6.402883e-11,0.99999964,1.1467515e-09,1.4960911e-07,3.8104356e-11
3,"Between 1989 and 1995 he was an active live musician as a soloist and with a clarinet trio, what split up later, in 1998.",1.1963793e-05,1.9461888e-07,0.01847675,0.9772973,0.0042028804,1.0990138e-05
4,"During this era, he founded G.O.R. in 1992.",0.004186683,0.00033543564,2.6858237e-05,0.00018762011,0.00012317472,0.9951402
5,"Usually he plays every instrument on its releases, but plays concerts with guest musicians.",0.0010970528,9.9693835e-09,6.770113e-09,0.9989029,1.6850928e-12,8.6831855e-13
6,G.O.R. produced many albums and appeared in numerous compilations.,1.94067e-07,3.8243084e-06,2.3894208e-08,0.9999957,2.3830003e-07,3.874581e-09
7,Francesco played as a guest musician with several bands.,7.1248783e-06,0.0019768476,1.3395022e-05,0.99800247,8.0750304e-08,8.1359613e-11
8,From 2010 Francesco performed with La Scala Philharmonic Orchestra and in 2012 with The Qatar Philharmonic Orchestra.,9.0752025e-08,5.781923e-08,0.006813846,0.993186,4.9599484e-11,9.488874e-09
9,"Currently, he works freelance with the BBC Orchestra.",0.9999999,8.9539064e-13,1.0477408e-08,9.9558285e-08,5.2260986e-12,2.3365907e-13
10,"His research commenced in 2010, focuses on designing experiences which maximise students' learning and engagement, by creating meaningful connections between learners, the Facilitators and the wider community.",8.015112e-10,0.00012155697,0.9954733,1.2841932e-07,1.5561547e-07,0.0044048536
11,"In 2015 Francesco presented his research at New York University, Steinhardt (IMPACT Conference).",8.592915e-09,0.021745013,0.89980197,0.00086138834,9.294334e-06,0.07758237
12,"During 2016, he presented his research at Drew University (Transatlantic conference) in Ireland and at the International Society for Music Education (ISME) conference in Scotland, and at the ECIS Leadership Conference in Rome.",4.660414e-08,0.019681154,0.49397016,2.2847708e-07,1.4013634e-07,0.4863483
13,"At the present time, he is studying the relationship between different curricula and is working on improving traditional methodologies with the purpose to inspire, motivate and develop creativity in both students and teachers.",9.7636324e-08,0.00010971462,0.9998734,7.751068e-06,7.9509455e-06,1.0388304e-06
14,"He has written three film scores: Honey (2003), Ramallah (2005), and Sur (2005).",5.6071826e-08,1.5378132e-10,2.0784338e-12,1.0,2.7530467e-12,5.5232677e-14
15,==,0.12487865,0.2134413,0.001371599,0.0017026742,0.65860564,7.902395e-08
16,Releases ==,0.95176476,0.00029259242,9.529335e-05,0.040238712,3.9988404e-06,0.0076045673
17,Christos (1993),1.3974844e-08,1.7459205e-07,8.012016e-09,1.2039793e-05,0.9999877,5.2045195e-08
18,Genocidio di Ordine Religioso (1994),1.4704152e-09,0.0006355291,2.1707919e-13,2.115533e-07,0.99931157,5.269487e-05
19,Cybernos (1995),2.5848296e-05,0.0003138716,0.0065079452,0.92466,0.06531874,0.0031735483
20,Iniziazione (1996),0.00031936375,2.280725e-08,0.00030787048,0.0051032263,0.99426794,1.4874955e-06
21,Entrar sen braz (1997),0.090871006,0.00010625356,0.00067238713,0.011197168,0.89715254,6.6575905e-07
22,Dicearchia (1997),1.5482378e-09,3.2449861e-06,5.167131e-09,0.0059754825,0.9940209,3.9901965e-07
23,Ruha d'Qudsha (1998),0.0172989,0.0001254597,0.42134467,0.072170876,0.48655036,0.0025096966
24,Solitudo corpus (1999),5.32617e-12,0.9985636,1.028944e-05,4.9534123e-05,0.00045580778,0.0009208731
25,Bellum Gnosticorum (2000),9.639387e-09,0.92234087,0.0020403124,0.053314265,0.022015566,0.0002890481
26,Ialdabaoth (2001),0.00036422198,8.0983e-09,1.5596576e-08,1.7420336e-05,0.9996177,5.3703565e-07
27,Phlegraei (2002),3.8019718e-06,3.1848492e-07,9.056163e-08,0.0030595732,0.68334067,0.31359547
28,Qumran (2003),2.0715932e-08,0.8187121,9.055975e-05,0.16731155,0.0012660668,0.01261973
29,Temporis Recurrens (DVD) (2003),2.0461914e-06,4.724433e-06,0.00013378568,0.014397471,0.98545545,6.505227e-06
30,Croisades (2004),0.0028614968,5.5200308e-05,1.8321018e-07,0.00078571704,0.3674152,0.62888217
31,Amore & Tradimento (2004) – (Released in the US under the title Ciganko in 2005.),0.97461027,2.8974975e-08,0.00045620918,0.024894023,3.9455397e-05,3.1752678e-09
32,Baqshish (2007),0.0039640106,0.4970673,2.4827065e-08,0.0003498916,0.013064941,0.48555386
33,Greta (single) (2012),0.011087356,6.906246e-05,0.9737753,0.0001481975,0.014603063,0.00031700273
34,Dante (single) (2014),0.001399315,0.0001690842,0.00011092737,0.9983203,4.0409202e-07,3.4722056e-08
35,Shashamane (single) (2015),0.3981897,0.00019056097,0.00022794203,0.045739383,0.12529641,0.43035603
36,Sfiorando il cielo (single) (2015),0.0027575402,1.4616685e-06,0.22554752,0.00057884835,0.7588724,0.012242214
37,Maria Elena (single) (2015),0.15994617,7.334047e-07,0.00024939186,0.21439038,0.12916385,0.4962494
38,===,0.0018068915,2.1080356e-05,2.749861e-05,0.00044118572,0.9977034,1.2509472e-11
39,Film scores ===,0.0027030054,1.1970373e-07,1.3351158e-08,0.99729687,1.3147722e-09,8.689191e-09
40,Honey (2004),0.10481278,0.0015820658,2.6023861e-05,0.20406955,0.68731475,0.0021948956
41,Ramallah (2005),0.0017240047,0.0110924635,4.7397672e-05,0.9806193,0.0009266678,0.0055900547
42,Sur (2005),0.36012462,7.3770493e-06,0.34810564,0.2871732,0.004588973,1.4216624e-07
43,===,0.0018068915,2.1080356e-05,2.749861e-05,0.00044118572,0.9977034,1.2509472e-11
44,Contributions =,1.054669e-06,9.787814e-15,1.6871132e-07,0.9999988,2.2014007e-11,5.695728e-11
45,=,0.0052375025,0.9944845,1.1614969e-05,0.00024722813,1.9252246e-05,9.708636e-09
46,=,0.0052375044,0.9944845,1.1614969e-05,0.00024722813,1.9252246e-05,9.708636e-09
47,====,0.0008281029,4.9745056e-05,1.6403084e-05,9.948394e-06,0.9990958,1.313979e-10
48,Lys =,0.9711247,0.003946605,0.0005341,0.003542157,0.02046622,0.0003861482
49,===,0.0018068915,2.1080356e-05,2.749861e-05,0.00044118572,0.9977034,1.2509472e-11
50,Roi Lune (2001),0.65330505,9.344882e-05,0.001644108,0.26203153,0.082920365,5.548867e-06
51,Mélisse (2004),0.07217396,3.1626325e-08,3.5816294e-05,0.065742545,0.8618711,0.00017653457
52,====,0.0008281029,4.9745056e-05,1.6403084e-05,9.948394e-06,0.9990958,1.313979e-10
53,Ataraxia =,0.41390193,1.944121e-06,2.399906e-07,0.583872,0.0022239108,6.2877676e-09
54,===,0.0018068915,2.1080356e-05,2.749861e-05,0.00044118572,0.9977034,1.2509472e-11
55,Suenos (2001),0.3089315,0.000104187355,0.031558316,0.102655314,0.5567481,2.5982993e-06
56,Mon Soul Desir (2002),0.0016689979,0.0046189623,0.031469475,7.226247e-05,0.90425587,0.057914406
57,A Calliope... collection (2002),0.000575698,0.016704353,1.3306048e-05,0.6967471,0.007812895,0.27814668
58,====,0.0008281029,4.9745056e-05,1.6403084e-05,9.948394e-06,0.9990958,1.313979e-10
59,Others ==,1.3786866e-10,0.9999999,3.0128464e-09,1.7041037e-07,3.870985e-09,5.0115986e-08
60,==,0.12487865,0.2134413,0.001371599,0.0017026742,0.65860564,7.902395e-08
61,Soleil (w/ Jack or Jive) (2002),0.42803764,5.1853684e-05,0.0012205397,0.006758038,0.56332624,0.000605728
62,Love Sessions (2002),0.029944975,0.00039751665,4.1155294e-05,0.3572847,2.266884e-07,0.61233145
63,Segesta (w/ Lino Cannavacciuolo italian violinist) (2002),0.06535365,2.3105724e-06,0.006149083,0.65008146,0.27832466,8.8853216e-05
64,Alabaster (w/ Louisa John Krol) (2003),6.668934e-05,9.562692e-06,4.495413e-05,0.84932756,0.15045488,9.6384334e-05
65,Three living Three dead (w/ The Soil Bleeds Black) (2003),3.3405498e-10,2.1211624e-06,0.013803584,0.96778303,0.018410668,5.438575e-07
66,"Babilon (w/ Morpheus, a Spanish band) (2003)",0.00013606215,0.00022237551,2.8747644e-07,0.9996408,4.5413887e-07,3.425403e-12
67,Enrico Del Gaudio (2003),0.28031832,1.697506e-07,0.004398984,0.0013257912,0.71331716,0.00063963677
68,Love Sessions 2 (2004),5.160631e-05,0.001414377,2.5550238e-05,0.9982102,3.092952e-06,0.00029524107
