time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"January 19 , 1926","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
"November 26 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
the 1978,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,0
1964,CD,YEAR_REGEX_1,TIME,time_reference,2,0
1976,CD,YEAR_REGEX_1,TIME,time_reference,2,0
1982,CD,YEAR_REGEX_1,TIME,time_reference,2,0
1999,CD,YEAR_REGEX_1,TIME,time_reference,2,0
1975,CD,YEAR_REGEX_1,TIME,time_reference,3,0
1978,CD,YEAR_REGEX_1,TIME,time_reference,3,0
The Twilight,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,4,0
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,4,0
"January 19 , 1926","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2
the early 1950s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,0,4
1956,CD,YEAR_REGEX_1,TIME,time_reference,1,4
Hour,NNP,TIME_UNIT_REGEX,TIME,time_reference,1,4
the next four decades,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,2,4
1969,CD,YEAR_REGEX_1,TIME,time_reference,3,4
1975,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,6
1964,CD,YEAR_REGEX_1,TIME,time_reference,1,7
1976,CD,YEAR_REGEX_1,TIME,time_reference,1,7
Sunday,NNP,WEEK_REGEX,TIME,time_reference,1,7
1977,CD,YEAR_REGEX_1,TIME,time_reference,1,7
1982,CD,YEAR_REGEX_1,TIME,time_reference,1,7
1999,CD,YEAR_REGEX_1,TIME,time_reference,1,7
The Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,2,7
1973,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1977,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1978,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1986,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1995,CD,YEAR_REGEX_1,TIME,time_reference,3,7
2005,CD,YEAR_REGEX_1,TIME,time_reference,4,7
2010,CD,YEAR_REGEX_1,TIME,time_reference,5,7
2011,CD,YEAR_REGEX_1,TIME,time_reference,6,7
2013,CD,YEAR_REGEX_1,TIME,time_reference,7,7
2014,CD,YEAR_REGEX_1,TIME,time_reference,7,7
2014,CD,YEAR_REGEX_1,TIME,time_reference,7,7
2016,CD,YEAR_REGEX_1,TIME,time_reference,7,7
1997,CD,YEAR_REGEX_1,TIME,time_reference,0,9
"November 26 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,9
