time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"January 26 , 1924 – June 13 , 2016","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Anahid Marguerite Ajemian (January 26, 1924 – June 13, 2016) was an American violinist of Armenian descent.",0,0,,2284844
"January 26 , 1924","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Ajemian was born in Manhattan on January 26, 1924, to Armenian immigrant parents.",0,2,== Early life and education ==,2284844
1946,CD,YEAR_REGEX_1,TIME,time_reference,"In 1946, while still a student of Édouard Dethier at the Juilliard Graduate School of Music, Ajemian won the Walter W. Naumburg Foundation Award.",0,4,== Musical career ==,2284844
year,NN,TIME_UNIT_REGEX,TIME,time_reference,"In the same year, she made her debut at Town Hall and received the Distinguished Achievement Medal from Mademoiselle magazine as the Young Woman of the Year in Music.",1,4,== Musical career ==,2284844
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"In the same year, she made her debut at Town Hall and received the Distinguished Achievement Medal from Mademoiselle magazine as the Young Woman of the Year in Music.",1,4,== Musical career ==,2284844
the 1940s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Also during the 1940s, Ajemian co-founded the New York City-based organization Friends of Armenian Music Committee, which did much to launch the career of fellow Armenian-American composer Alan Hovhaness, via a series of well-received New York concerts of his music.",0,7,== Musical career ==,2284844
1957,CD,YEAR_REGEX_1,TIME,time_reference,"Ajemian and her husband, George Avakian, started Music for Moderns, a Town Hall, in 1957.",2,7,== Musical career ==,2284844
1970,CD,YEAR_REGEX_1,TIME,time_reference,"The Quartet’s 1970 recording of Elliott Carter’s ""First and Second Quartets"" was honored by a Grammy nomination, received  “Stereo Review’s “Best Chamber Music Recording of the Year” Award, and was acclaimed by High Fidelity as “Best Quartet of the Year” and one of the “Fifty Greatest Albums of the Decade.”",5,7,== Musical career ==,2284844
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The Quartet’s 1970 recording of Elliott Carter’s ""First and Second Quartets"" was honored by a Grammy nomination, received  “Stereo Review’s “Best Chamber Music Recording of the Year” Award, and was acclaimed by High Fidelity as “Best Quartet of the Year” and one of the “Fifty Greatest Albums of the Decade.”",5,7,== Musical career ==,2284844
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The Quartet’s 1970 recording of Elliott Carter’s ""First and Second Quartets"" was honored by a Grammy nomination, received  “Stereo Review’s “Best Chamber Music Recording of the Year” Award, and was acclaimed by High Fidelity as “Best Quartet of the Year” and one of the “Fifty Greatest Albums of the Decade.”",5,7,== Musical career ==,2284844
of the Decade,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The Quartet’s 1970 recording of Elliott Carter’s ""First and Second Quartets"" was honored by a Grammy nomination, received  “Stereo Review’s “Best Chamber Music Recording of the Year” Award, and was acclaimed by High Fidelity as “Best Quartet of the Year” and one of the “Fifty Greatest Albums of the Decade.”",5,7,== Musical career ==,2284844
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"For many years, they were the primary performers at the Mt Desert Festival of Chamber Music in Northeast Harbor, Maine.",1,9,== Teaching ==,2284844
"December 23 , 2007","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Archived from the original on December 23, 2007.",1,15,== External links ==,2284844
2006-01-31,JJ,YEAR_REGEX_1,TIME,time_reference,Retrieved 2006-01-31.,2,15,== External links ==,2284844
1908–2013,CD,YEAR_REGEX_1,TIME,time_reference,"George Avakian and Anahid Ajemian papers, 1908–2013 Music Division, The New York Public Library.",0,16,== External links ==,2284844
