time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
1976,CD,YEAR_REGEX_1,TIME,time_reference,Dobkin moved to Los Angeles in 1976.,4,3,== Biography == | === Early history ===,54459753
1000 Years,CD NNS,YEAR_REGEX_1 TIME_UNIT_REGEX,TIME TIME,time_reference,"Along with Judith Owen, Dobkin participated in Richard Thompson's 1000 Years of Popular Music tour.",1,5,== Biography == | === Projects ===,54459753
A 2005,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,A 2005 concert of this show was released on CD and DVD in 2006.,2,5,== Biography == | === Projects ===,54459753
2006,CD,YEAR_REGEX_1,TIME,time_reference,A 2005 concert of this show was released on CD and DVD in 2006.,2,5,== Biography == | === Projects ===,54459753
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Dobkin also participated in Thompson's Cabaret of Souls song cycle project commissioned by the International Society of Bassists.",3,5,== Biography == | === Projects ===,54459753
1978–1989,CD,YEAR_REGEX_1,TIME,time_reference,1978–1989,1,7,== Discography == | === 1978–1989 ===,54459753
1978,CD,YEAR_REGEX_1,TIME,time_reference,1978:,0,8,== Discography == | === 1978–1989 ===,54459753
1979,CD,YEAR_REGEX_1,TIME,time_reference,1979:,0,9,== Discography == | === 1978–1989 ===,54459753
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,10,== Discography == | === 1978–1989 ===,54459753
1984,CD,YEAR_REGEX_1,TIME,time_reference,1984: Timothy B Schmit - Playin' It Cool (Asylum),0,11,== Discography == | === 1978–1989 ===,54459753
1985,CD,YEAR_REGEX_1,TIME,time_reference,1985:,0,12,== Discography == | === 1978–1989 ===,54459753
1986,CD,YEAR_REGEX_1,TIME,time_reference,1986:,0,13,== Discography == | === 1978–1989 ===,54459753
1986,CD,YEAR_REGEX_1,TIME,time_reference,1986:,0,14,== Discography == | === 1978–1989 ===,54459753
1987,CD,YEAR_REGEX_1,TIME,time_reference,1987:,0,15,== Discography == | === 1978–1989 ===,54459753
1987,CD,YEAR_REGEX_1,TIME,time_reference,1987:,0,16,== Discography == | === 1978–1989 ===,54459753
1988,CD,YEAR_REGEX_1,TIME,time_reference,1988:,0,17,== Discography == | === 1978–1989 ===,54459753
1989,CD,YEAR_REGEX_1,TIME,time_reference,1989:,0,18,== Discography == | === 1978–1989 ===,54459753
1989,CD,YEAR_REGEX_1,TIME,time_reference,1989:,0,19,== Discography == | === 1978–1989 ===,54459753
1991–1994,CD,YEAR_REGEX_1,TIME,time_reference,1991–1994,1,20,== Discography == | === 1991–1994 ===,54459753
1990,CD,YEAR_REGEX_1,TIME,time_reference,1990: Was (Not Was) -,0,21,== Discography == | === 1991–1994 ===,54459753
1991,CD,YEAR_REGEX_1,TIME,time_reference,1991:,0,22,== Discography == | === 1991–1994 ===,54459753
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992:,0,23,== Discography == | === 1991–1994 ===,54459753
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992:,0,24,== Discography == | === 1991–1994 ===,54459753
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992: Delbert McClinton - Never Been Rocked Enough (Curb),0,25,== Discography == | === 1991–1994 ===,54459753
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992: Pops Staples - Peace to the Neighborhood (Pointbl ank),0,26,== Discography == | === 1991–1994 ===,54459753
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,27,== Discography == | === 1991–1994 ===,54459753
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,28,== Discography == | === 1991–1994 ===,54459753
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,29,== Discography == | === 1991–1994 ===,54459753
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994: Paul Kelly - Wanted Man (Vanguard),0,30,== Discography == | === 1991–1994 ===,54459753
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,31,== Discography == | === 1991–1994 ===,54459753
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,32,== Discography == | === 1991–1994 ===,54459753
1995–1999,CD,YEAR_REGEX_1,TIME,time_reference,1995–1999,1,33,== Discography == | === 1995–1999 ===,54459753
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995: Gary Taylor - The Mood Of Midnight (Morning Crew),0,34,== Discography == | === 1995–1999 ===,54459753
Of Midnight,IN NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,1995: Gary Taylor - The Mood Of Midnight (Morning Crew),0,34,== Discography == | === 1995–1999 ===,54459753
Morning,NNP,DAY_TIME_REGEX,TIME,time_reference,1995: Gary Taylor - The Mood Of Midnight (Morning Crew),0,34,== Discography == | === 1995–1999 ===,54459753
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,35,== Discography == | === 1995–1999 ===,54459753
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,36,== Discography == | === 1995–1999 ===,54459753
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,37,== Discography == | === 1995–1999 ===,54459753
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,38,== Discography == | === 1995–1999 ===,54459753
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,39,== Discography == | === 1995–1999 ===,54459753
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,40,== Discography == | === 1995–1999 ===,54459753
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,41,== Discography == | === 1995–1999 ===,54459753
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,42,== Discography == | === 1995–1999 ===,54459753
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,John Mayall & the Bluesbreakers - Blues For the Lost Days (Jive),1,42,== Discography == | === 1995–1999 ===,54459753
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,43,== Discography == | === 1995–1999 ===,54459753
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,44,== Discography == | === 1995–1999 ===,54459753
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,45,== Discography == | === 1995–1999 ===,54459753
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,46,== Discography == | === 1995–1999 ===,54459753
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,Storyville - Dog Years (Atlantic),1,46,== Discography == | === 1995–1999 ===,54459753
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,47,== Discography == | === 1995–1999 ===,54459753
2000–2004,CD,YEAR_REGEX_1,TIME,time_reference,2000–2004 =,1,48,== Discography == | === 2000–2004 ===,54459753
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,49,== Discography == | === 2000–2004 ===,54459753
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,50,== Discography == | === 2000–2004 ===,54459753
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,51,== Discography == | === 2000–2004 ===,54459753
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,52,== Discography == | === 2000–2004 ===,54459753
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,53,== Discography == | === 2000–2004 ===,54459753
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,54,== Discography == | === 2000–2004 ===,54459753
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,55,== Discography == | === 2000–2004 ===,54459753
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,56,== Discography == | === 2000–2004 ===,54459753
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,57,== Discography == | === 2000–2004 ===,54459753
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,58,== Discography == | === 2000–2004 ===,54459753
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,John Trudell - Bone Days (Daemon),1,58,== Discography == | === 2000–2004 ===,54459753
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,59,== Discography == | === 2000–2004 ===,54459753
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004: Katey Sagal - Room (Valley),0,60,== Discography == | === 2000–2004 ===,54459753
2005–2009,CD,YEAR_REGEX_1,TIME,time_reference,=== 2005–2009,0,61,== Discography == | === 2005–2009 ===,54459753
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,62,== Discography == | === 2005–2009 ===,54459753
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,63,== Discography == | === 2005–2009 ===,54459753
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,64,== Discography == | === 2005–2009 ===,54459753
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,65,== Discography == | === 2005–2009 ===,54459753
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,66,== Discography == | === 2005–2009 ===,54459753
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,67,== Discography == | === 2005–2009 ===,54459753
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,68,== Discography == | === 2005–2009 ===,54459753
1000 Years,CD NNS,YEAR_REGEX_1 TIME_UNIT_REGEX,TIME TIME,time_reference,"Richard Thompson - 1000 Years of Popular Music CD, DVD (Cooking Vinyl)",1,68,== Discography == | === 2005–2009 ===,54459753
2006,CD,YEAR_REGEX_1,TIME,time_reference,"2006: various artists - Rogue's Gallery: Pirate Ballads, Sea Songs, and Chanteys (ANTI-)",0,69,== Discography == | === 2005–2009 ===,54459753
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,70,== Discography == | === 2005–2009 ===,54459753
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,71,== Discography == | === 2005–2009 ===,54459753
2010–present,CD,YEAR_REGEX_1,TIME,time_reference,2010–present ===,1,72,== Discography == | === 2010–present ===,54459753
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,73,== Discography == | === 2010–present ===,54459753
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010: Miriams Well - Indians and Clowns (Buckin Savior),0,74,== Discography == | === 2010–present ===,54459753
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,75,== Discography == | === 2010–present ===,54459753
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012:,0,76,== Discography == | === 2010–present ===,54459753
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,77,== Discography == | === 2010–present ===,54459753
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,78,== Discography == | === 2010–present ===,54459753
2013,CD,YEAR_REGEX_1,TIME,time_reference,"2013: various artists - Son of Rogues Gallery: Pirate Ballads, Sea Songs & Chanteys (ANTI-)",0,79,== Discography == | === 2010–present ===,54459753
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Jim Wilson – Winterscape: Soothing Holiday Instrumentals Featuring Piano (Green Hill),0,80,== Discography == | === 2010–present ===,54459753
Winterscape,NNP,SEASON_REGEX,TIME,time_reference,2014: Jim Wilson – Winterscape: Soothing Holiday Instrumentals Featuring Piano (Green Hill),0,80,== Discography == | === 2010–present ===,54459753
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,81,== Discography == | === 2010–present ===,54459753
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,82,== Discography == | === 2010–present ===,54459753
