time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
the 2015,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He composed the music for the 2015 film Hedi Schneider Is Stuck.,0,2,,56601853
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014 – Lambert (Staatsakt),0,5,== Discography == | === Albums ===,56601853
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015 – Stay in the Dark (Staatsakt),0,6,== Discography == | === Albums ===,56601853
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016 – Excess / The Improv Tape (Dauw),0,7,== Discography == | === Albums ===,56601853
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017 – Sweet Apocalypse (Mercury KX/Decca/Universal Classics),0,8,== Discography == | === Albums ===,56601853
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018 - We Share Phenomena (collaboration with Brookln Dekker),0,9,== Discography == | === Albums ===,56601853
2019,CD,YEAR_REGEX_1,TIME,time_reference,2019 - True (Mercury KX/Decca/Universal Classics),0,10,== Discography == | === Albums ===,56601853
2020,CD,YEAR_REGEX_1,TIME,time_reference,2020 - False (Mercury KX/Decca/Universal Classics),0,11,== Discography == | === Albums ===,56601853
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016 – Lost Tapes (Staatsakt),0,13,== Discography == | === EPs ===,56601853
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018 – Exodus (collaboration with Stimming) (Kryptox),0,14,== Discography == | === EPs ===,56601853
2019,CD,YEAR_REGEX_1,TIME,time_reference,2019 –,0,15,== Discography == | === EPs ===,56601853
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015 – Hedi Schneider is Stuck,0,17,== Discography == | === Soundtracks ===,56601853
2020,CD,YEAR_REGEX_1,TIME,time_reference,2020 –,0,18,== Discography == | === Soundtracks ===,56601853
