sentences,sentenceIndex,paragraphIndex,section,wikiId
Elliot Galvin (born 1991) is a British musician and composer based in London.,0,0,N/A,54677679
"He plays piano, synthesizer, kalimba, microtonal melodica, accordion and stylophone.",1,0,N/A,54677679
His primary artistic vehicle is the eponymous Elliot Galvin Trio.,2,0,N/A,54677679
He is also a member of the jazz ensembles Dinosaur and Emma-Jean Thackray's WALRUS.,3,0,N/A,54677679
Galvin has exhibited work at the Turner Contemporary art gallery.,4,0,N/A,54677679
==,0,1,== Elliot Galvin Trio ==,54677679
Elliot Galvin Trio ==,1,1,== Elliot Galvin Trio ==,54677679
"Elliot Galvin Trio comprises piano, bass and drums.",0,2,== Elliot Galvin Trio ==,54677679
The live and studio line-up has been as follows:,1,2,== Elliot Galvin Trio ==,54677679
"Elliot Galvin - piano, other instruments",0,3,== Elliot Galvin Trio ==,54677679
Tom McCredie - bass,0,4,== Elliot Galvin Trio ==,54677679
Simon Roth - drumsSome performances have featured Corrie Dick on drums.,0,5,== Elliot Galvin Trio ==,54677679
"In addition to piano, Galvin plays kalimba, accordion and stylophone with the trio.",0,6,== Elliot Galvin Trio ==,54677679
He plays a bespoke microtonal melodica on the track Blop and uses a portable cassette player to insert recorded sounds into recordings and performances.,1,6,== Elliot Galvin Trio ==,54677679
==,0,7,== Discography ==,54677679
Discography ==,1,7,== Discography ==,54677679
"Landing Ground, (with Laura Jurd & Ligeti Quartet, Chaos Collective, 2012)",0,8,== Discography ==,54677679
"Dreamland (Chaos Collective, 2013)",0,9,== Discography ==,54677679
"Punch (as The Elliot Galvin Trio, Edition Records, 2016)",0,10,== Discography ==,54677679
"Together, As One (with Dinosaur, Edition Records, 2016)",0,11,== Discography ==,54677679
"Weather (with Mark Sanders, Babel Label, 2017)",0,12,== Discography ==,54677679
"The Influencing Machine (Edition Records, 2018)",0,13,== Discography ==,54677679
"Wonder Trail (with Dinosaur, Edition Records, 2018)",0,14,== Discography ==,54677679
"Modern Times (Edition Records, 2019)",0,15,== Discography ==,54677679
"To The Earth (with Dinosaur, Edition Records, 2020)",0,16,== Discography ==,54677679
==,0,17,== Associated acts ==,54677679
Associated acts ==,1,17,== Associated acts ==,54677679
Galvin also plays synthesizers in British jazz quartet Dinosaur.,0,18,== Associated acts ==,54677679
==,0,19,== Accolades ==,54677679
Accolades ==,1,19,== Accolades ==,54677679
Elliot Galvin Trio won the 2014 European Young Jazz Artist of the Year Award.,0,20,== Accolades ==,54677679
They were nominated for the Jazz Parliamentary Jazz Awards Newcomer of the Year in 2015.,1,20,== Accolades ==,54677679
"In July 2017, Together, As One was nominated for the Mercury Music Prize.",2,20,== Accolades ==,54677679
==,0,21,== References ==,54677679
References ==,1,21,== References ==,54677679
