sentences,sentenceIndex,paragraphIndex,section,file,wikiId,Music making,Business meeting,Personal life,Coincidence,Public celebration,Education
Life and career ==,1,1,== Life and career ==,indexedSentences/1010510.csv,1010510,False,True,False,False,False,False
"She was born to a family of Russian hereditary nobles, her maternal side, and gentry, her paternal side.",0,2,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
"Her acting and singing talents were evident very early on, but her noble parents considered acting a disgraceful career and directed her towards classical music.",2,2,== Life and career ==,indexedSentences/1010510.csv,1010510,False,True,False,False,False,False
"In 1914, after her father left for the front, her mother Evgenia Nikolaevna and her daughters settled in Moscow, where the sisters entered the gymnasium.",4,2,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
The Orlovs spent the difficult years of the Civil War in Voskresensk because their mother's sister lived here.,5,2,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
The family subsisted on funds from the sale of milk which was given by the aunt's cow.,6,2,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
"However, this did not affect her career.",4,3,== Life and career ==,indexedSentences/1010510.csv,1010510,False,True,False,False,False,False
"Dmitri Shcheglov, a biography author, wrote in Love and Mask ('Lyubov i maska', 1997): ""As an eternal irony and foresight of fate, the best performer of the roles of house servants and enthusiasts of Communist labor was a descendant of ten Russian Orthodox saints.",5,3,== Life and career ==,indexedSentences/1010510.csv,1010510,True,False,False,False,False,False
"The Orlov family was partly saved from the worst form of repression, camps or deportation, and the Bolshevik ""redistribution of property"" only because even before the Revolution, her father Peter had lost all three of his estates at cards, and therefore there was practically nothing to take away.",8,3,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
"However, Orlova's father, an engineer and class enemy, was officially banned as an employee.",9,3,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,True,False,False,False
"In September 1926, she was hired as a choir singer by the Nemirovich-Danchenko Theatre Music Studio finally deciding to become an actress, not a pianist.",10,3,== Life and career ==,indexedSentences/1010510.csv,1010510,False,True,False,False,False,False
"Despite her success with the public, vocal and acting training in a theatre with Ksenia Kolubai, Orlova wasn't noticed by the press and was criticized by her colleagues for not having a real singing voice (Faina Ranevskaya, her close friend, used to say ""Orlova is a gorgeous actress for sure.",14,3,== Life and career ==,indexedSentences/1010510.csv,1010510,False,False,False,False,True,False
"When she sings it sounds like somebody is urinating in an empty bucket."")",16,3,== Life and career ==,indexedSentences/1010510.csv,1010510,True,False,False,False,False,False
"Remembering her student years (and she studied at the choreography department of the Moscow Theater College named after A.V. Lunacharsky, now - GITIS), she decided to bring herself back to her previous form and perform Serpoletta's entrance aria on pointe.",18,3,== Life and career ==,indexedSentences/1010510.csv,1010510,True,False,False,False,False,False
"Alexander Hort, writer, wrote: ""The audience was smitten: while dancing, Serpoletta stood up on pointe shoes, so graceful, airy, romantic!",19,3,== Life and career ==,indexedSentences/1010510.csv,1010510,True,False,False,False,False,False
