before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Tara McNeill (pronounced TAR-a) is an Irish violinist, harpist, and soprano singer from Antrim, Northern Ireland."
,0,2,N,
,1,2,N,
,2,2,HT,"At St. Joseph's Primary School in Antrim, McNeill showed potential as a musician."
,3,2,N,
,4,2,N,
,5,2,HT,"McNeill was part of the junior and senior Ulster / North Eastern Education and Library Board (NEELB) Youth Orchestra, performing with them for 7 years and leading the senior orchestra at the age of 17."
,6,2,HM,"She was selected as Head Girl in St. Louis Grammar School, Ballymena in 2008–2009."
,7,2,N,
,8,2,N,
,9,2,HT,She graduated with First class honours in June 2009 with the highest marks in her year.
,0,3,N,
,0,5,HT,McNeill toured with the Irish choral ensemble Anúna as both a solo violinist and as a singer from 2011 to 2016.
,1,5,HT,She also played violin on the Anúna album Illumination released in 2012.
,2,5,HM,"In April 2013, McNeill performed the Irish premiere of Finzi's Violin Concerto in the National Concert Hall, Dublin, Ireland."
,3,5,HT,"In 2014, McNeill was a lead performer in the show Ireland Calling as a violinist, harpist, and singer."
,4,5,N,
,0,7,HT,"In August 2015, McNeill played the harp as part of the orchestra in Celtic Woman: Destiny, a DVD and PBS TV special filmed in the Round Room at the Masion House, in Dublin, Ireland."
,1,7,HT,"On 7 August 2016, McNeill was announced as the newest principal member of the all-female Irish musical ensemble Celtic Woman."
,2,7,N,
,3,7,N,
,4,7,HT,"On 15 August 2016, McNeill began recording in the studio for Celtic Woman."
,5,7,HT,"McNeill's first live concert with Celtic Woman was on 16 September 2016, in Johannesburg, South Africa."
,6,7,N,
,0,9,N,
,1,9,N,
,2,9,HT,"Prior to joining Celtic Woman, McNeill taught violin in Mount Anville Junior School, Dublin, teaching about 50 students."
,0,11,HT,"McNeill married Alexander ""Alex"" Bernstein in January 2018."
,0,15,N,
,0,18,N,
,0,23,N,
,1,23,N,
