URI,types,entity,offset,similarityScore,sentenceIndex,paragraphIndex,section,entType
http://dbpedia.org/resource/Kanae_Itō,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Kanae Ito,0,0.9999999368242832,0,0,,person
http://dbpedia.org/resource/Nagano_Prefecture,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Nagano,109,0.9999887044552224,0,0,,place
http://dbpedia.org/resource/Kanae_Itō,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Kanae Ito,0,,1,0,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,35,,0,2,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,0,,1,2,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,0,,2,2,,person
,,Amu Hinamori,11,,2,2,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,0,,3,2,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,0,,4,2,,person
,,Fumino Serizawa,11,,4,2,,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,27,,5,2,,person
http://dbpedia.org/resource/Aki_Toyosaki,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Aki Toyosaki,8,1.0,6,2,== Biography ==,person
https://www.wikidata.org/wiki/Q492858,Q492858,Ito,0,,8,2,,person
